Source: IEA Sustainable Development Goal 7 https://www.iea.org/reports/tracking-sdg7-the-energy-progress-report-2021
Documentation: undefined
This data is subject to the IEA's terms and conditions: https://www.iea.org/terms

,Share of renewables,Units
1990,16.07,%
1995,16.8,%
2000,16.91,%
2005,16.01,%
2010,16.06,%
2015,16.79,%
2019,17.69,%
