Source: IEA Sustainable Development Goal 7 https://www.iea.org/reports/tracking-sdg7-the-energy-progress-report-2021
Documentation: undefined
This data is subject to the IEA's terms and conditions: https://www.iea.org/terms

,Share of renewables,Units
1990,33.64,%
1995,29.1,%
2000,29.28,%
2005,17.34,%
2010,12.21,%
2015,12.14,%
2019,14.4,%
