Source: IEA Sustainable Development Goal 7 https://www.iea.org/reports/tracking-sdg7-the-energy-progress-report-2021
Documentation: undefined
This data is subject to the IEA's terms and conditions: https://www.iea.org/terms

,Share of renewables,Units
1990,6.07,%
1995,7.1,%
2000,7.82,%
2005,8.87,%
2010,13.08,%
2015,16.36,%
2019,18.17,%
