Source: IEA Sustainable Development Goal 7 https://www.iea.org/reports/tracking-sdg7-the-energy-progress-report-2021
Documentation: undefined
This data is subject to the IEA's terms and conditions: https://www.iea.org/terms

,Share of renewables,Units
1990,2.02,%
1995,1.38,%
2000,1.67,%
2005,1.8,%
2010,2.13,%
2015,2.33,%
2019,2.95,%
