Source: IEA Renewables Information https://www.iea.org/data-and-statistics/data-product/renewables-information
Documentation: https://iea.blob.core.windows.net/assets/dac193ba-44c6-40ab-8877-9ad4cac28b5b/DocumentationforRenewablesInformation.pdf
This data is subject to the IEA's terms and conditions: https://www.iea.org/terms

,Geothermal,Hydro,Solar PV,"Tide, wave, ocean",Wind,Solar thermal,Units
1990,3606,514106,16,503,778,,GWh
1995,3854,581527,52,507,4078,,GWh
2000,6184,637769,125,507,22296,,GWh
2005,7150,604337,1487,481,71613,,GWh
2010,10735,674508,22669,478,154020,761,GWh
2015,15042,664631,105746,489,319006,5593,GWh
2019,21696,655677,150903,513,462933,5683,GWh
