Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
China,CHN,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.684279942550043,0.67018240769436,0.630314121181864,0.613941372824061,0.57793235136621,0.552372280212256,0.524490144144813,0.503733742211322,0.474420332533416,..,..
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,10.6358710646812,9.55083217886229,7.86373644866194,7.766150097539,7.42576365645755,7.04132887865481,6.84876220503246,6.94720079327288,6.74977383247717,5.94971423273162,2.3475135727457
France,FRA,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.149031372437777,0.136330820338822,0.135945620235312,0.129050067372351,0.114397512960719,0.114224893414943,0.109182396916204,0.10605399136878,0.0991751442090025,..,..
France,FRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.94943762312663,2.19270063266654,0.313134751077172,0.576326674771792,0.956183052371557,1.1129123405747,1.09546440372048,2.29141999417021,1.86506607081999,1.84297181445896,-7.85525603703762
Germany,DEU,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.242642145063173,0.218557973395803,0.217943585576857,0.214308172913369,0.193713717537225,0.19087025286665,0.179380448522047,0.166912582365112,0.154944021996163,..,..
Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.17988249873657,3.92519270463411,0.418497594217598,0.437591303144671,2.20954343134872,1.49193152760772,2.22999986782015,2.68023111405891,1.08602451412267,1.05550824713283,-4.56961671737398
United States,USA,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.359715250353121,0.332769696705583,0.30562497709218,0.303219882440938,0.29112411390644,0.273204730953351,0.260795959516469,0.246314543700039,0.241671531549254,..,..
United States,USA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.5637665603995,1.55083550470843,2.24954585238848,1.84208107064158,2.52597344637341,3.0755146497898,1.71142677366849,2.33267939548638,2.99646435222829,2.16117651518969,-3.40459157333871
United Kingdom,GBR,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.209859015174963,0.187949648573323,0.190384440583145,0.175661924864276,0.154437353170995,0.143279725358255,0.129376115430732,0.119602771189185,0.11348144445773,..,..
United Kingdom,GBR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.13143819777204,1.4575633909042,1.46988752075868,1.8900183424514,2.99116481375781,2.62259667901294,2.26346353784494,2.13445309331686,1.65092549602133,1.67194419724758,-9.39616000598907
World,WLD,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.347629253644597,0.336455184124839,0.324296127258684,0.314908110527251,0.303782568798471,0.296140335235141,0.284720763319431,0.273620257073798,0.263238627675482,..,..
World,WLD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.49485995761852,3.3397307370777,2.67305973645253,2.8448544186072,3.11786320871119,3.168372975735,2.82511802669165,3.39442342651519,3.2696726971847,2.60087776956794,-3.29349659895067
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,
Last Updated: 04/08/2022,,,,,,,,,,,,,,
